"vendor","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"olhausen","Palazzo","https://www.olhausenbilliards.com/shop?productId=cmcwg9yyk0006jp04hi3boyk4","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Palazzo_angle%20new-Ri1zZJDnBAycYLxGmE3PJlRJpxURfj.png","olhausen/originals/palazzo.png","olhausen/normalized-1600x1000/palazzo.png"
"olhausen","Railyard","https://www.olhausenbilliards.com/shop?productId=cm87qqs8000oqpgzkmkzj1e4l","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/railyard_pooltable-F7TxxmPxV07AUmLfbi4YeRe93AsH0f.png","olhausen/originals/railyard.png","olhausen/normalized-1600x1000/railyard.png"
"olhausen","Regent","https://www.olhausenbilliards.com/shop?productId=cm87qo1ub00gfpgzkjht4cvd8","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Regent_Pool%20Table_Colardo%20Atlas%20Finish_trans-72UDPT52347AxyBT8S06UGJrFBjxA7.png","olhausen/originals/regent.png","olhausen/normalized-1600x1000/regent.png"
"olhausen","Remington","https://www.olhausenbilliards.com/shop?productId=cm87qxw23019wpgzkzomwiofn","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/remington_pooltable-juxzDypulzyoMerPKMliatDjytfOv6.png","olhausen/originals/remington.png","olhausen/normalized-1600x1000/remington.png"
"olhausen","Reno","https://www.olhausenbilliards.com/shop?productId=cm87qyb0j01b8pgzkgttmfzq7","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/reno_tm_veneer_pooltable-tUw55hiJeLghQg0MVgz8pNavWpBhZx.png","olhausen/originals/reno.png","olhausen/normalized-1600x1000/reno.png"
"olhausen","Riviera","https://www.olhausenbilliards.com/shop?productId=cmcwgvb1u000cjp047kbdxcrv","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Riviera_angle-kQtUk3gMvfN5nHDHLH8V9T0QpR4LsH.png","olhausen/originals/riviera.png","olhausen/normalized-1600x1000/riviera.png"
"olhausen","Santa Ana","https://www.olhausenbilliards.com/shop?productId=cm87qyr4u01cfpgzkf9qxem8j","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/santa%20ana_pooltable-8aovauSkPnWTcVlpfbnLXHxTnswq0b.png","olhausen/originals/santa-ana.png","olhausen/normalized-1600x1000/santa-ana.png"
"olhausen","Seville","https://www.olhausenbilliards.com/shop?productId=cm87qr9j600qapgzk7fuljmep","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/seville_pooltable-FSKpElKuBMS7HZ10jKiyZkSbzOHDSS.png","olhausen/originals/seville.png","olhausen/normalized-1600x1000/seville.png"
"olhausen","Sheraton","https://www.olhausenbilliards.com/shop?productId=cm87qz6g301drpgzkhf42ayum","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/Sheraton_Tulipe_MBL-LN1PFnMkvuWzqvOaOOWPYQCjQ9AGHl.png","olhausen/originals/sheraton.png","olhausen/normalized-1600x1000/sheraton.png"
"olhausen","Sheraton Laminate","https://www.olhausenbilliards.com/shop?productId=cm87qzhzy01eopgzkcv0f19x4","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/sheraton_laminate_pooltable-9g2aK5WxJrwEAcMQwfW0oh1qNOkxmt.png","olhausen/originals/sheraton-laminate.png","olhausen/normalized-1600x1000/sheraton-laminate.png"
"olhausen","Southern","https://www.olhausenbilliards.com/shop?productId=cm87qzleb01evpgzk45r2wlyt","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/southern_new%20apron_pooltable-3Zjd5aa0FyLJUsg36RFyR1QuJjOpCN.png","olhausen/originals/southern.png","olhausen/normalized-1600x1000/southern.png"
"olhausen","St. Andrews","https://www.olhausenbilliards.com/shop?productId=cm87qrj0d00rfpgzktfs8a56o","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/St%20Andrews_pooltable-7WAoxQ4lEDacPAzYii6N2HZynTTJHj.png","olhausen/originals/st-andrews.png","olhausen/normalized-1600x1000/st-andrews.png"
"olhausen","St. George","https://www.olhausenbilliards.com/shop?productId=cm87qrted00slpgzkw6vjqxzu","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/st%20george_pooltable-dRCgAE0FTaTWYwvAtT3zzsDUQh0Y0V.png","olhausen/originals/st-george.png","olhausen/normalized-1600x1000/st-george.png"
"olhausen","St. Leone","https://www.olhausenbilliards.com/shop?productId=cm87qs3r300trpgzk915kthns","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/st%20leone_pooltable-3Rs4T2W2QBnIdowTNf8wFgx1wVxzhP.png","olhausen/originals/st-leone.png","olhausen/normalized-1600x1000/st-leone.png"
"olhausen","Timber Ridge","https://www.olhausenbilliards.com/shop?productId=cm87qqwin00p1pgzkp51tq49z","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/timber%20ridge_pooltable-exTR5PE2q2555yb9MjMM6v8VeidBkh.png","olhausen/originals/timber-ridge.png","olhausen/normalized-1600x1000/timber-ridge.png"
"olhausen","Townhouse","https://www.olhausenbilliards.com/shop?productId=cm87qonga00i6pgzkiwg5wxe3","https://qe52kfslzzi6sqpd.public.blob.vercel-storage.com/0618-Townhouse-e1718729358179-1536x858-iOQMXGO5YHxn3dcBUcMlODNG8V5a0s.png","olhausen/originals/townhouse.png","olhausen/normalized-1600x1000/townhouse.png"
